year,delta_vh_km2,delta_vv_km2,delta_vh_only_km2,ts_vh_km2,ts_vv_km2,ts_vh_only_km2,delta_rain_mm_JJ,delta_rain_mm_AS,ts_rain_mm_JJ,ts_rain_mm_AS,delta_vh_anomaly_ratio,ts_vh_anomaly_ratio,delta_rain_mm_AS_anomaly,ts_rain_mm_AS_anomaly
2015,39263.4411312101,33664.58162133072,0.0,4982.14893377617,3892.226790523822,0.0,421.25707789986194,482.8639207294055,418.5191894661988,470.79258598445426,0.9836888137007823,1.0294885311231263,-10.335240186142755,-91.36354901574668
2016,41105.05172424984,36979.498246219504,0.0,7430.943820472904,5898.124854872737,0.0,500.2796160386961,487.7709752825163,581.0670315076318,587.7070399428268,1.029827707475074,1.5354963370793546,-5.428185633031944,25.550904942625834
2017,48699.0052867601,46451.23147494216,0.0,10357.122466686034,8076.027191647719,0.0,392.36126924053144,448.6416806596817,508.1370589093284,547.2407972405547,1.2200832468772649,2.140148545661675,-44.55748025586655,-14.915337759646263
2018,50513.34570148544,47339.1142710033,0.0,15662.879523404566,12174.10364244601,0.0,440.10245857543197,462.7453957810022,516.9713892516036,506.97448727045924,1.2655389257171892,3.236505983269886,-30.453765134546074,-55.18164772974171
2019,51048.84996518948,46878.71022461779,0.0,14813.895928231968,10445.25092213797,0.0,458.5445050539702,456.369944562378,390.9827541503362,529.7715362432689,1.2789552116747644,3.0610758855430773,-36.82921635317024,-32.384598756932064
2020,48493.98654882919,44932.79552872075,0.0,10199.831465175745,5921.985055628732,0.0,459.29661063271993,551.6921516146449,422.2916364380924,488.7168215934026,1.2149467984842741,2.107646650544505,58.49299069909665,-73.43931340679836
2021,48029.214020063104,44916.200405643176,0.0,12975.420469567363,8692.581277692254,0.0,403.5188753773991,528.4730810719474,386.71445522527875,640.2881505414131,1.2033025939955544,2.681181702409537,35.27392015639913,78.13201554121213
2022,46918.92652928599,43176.22693831261,0.0,12896.920843989765,8961.275772416733,0.0,476.14919865283764,493.0327309607914,448.55838350385034,833.2738088820176,1.1754859443794514,2.6649608978322745,-0.1664299547568362,271.1176738818167
2023,47666.07366130297,44267.207222315104,0.0,10711.631726078887,7306.194704570472,0.0,576.1485728366059,451.3636267835125,487.5693371845276,460.4511689045005,1.194204636750241,2.213402722036783,-41.835534132035775,-101.70496609570046
2024,47048.45562073217,44320.5611464834,0.0,11576.851789553228,8195.937695489603,0.0,586.353495021925,569.038101709602,556.7314000481731,556.3449533991119,1.1787311087011072,2.392187849515767,75.83894079405371,-5.811181601089061
