date,year_x,month_x,month_name,precipitation_mm,precip_std,historical_avg,anomaly_mm,anomaly_pct,year_y,month_y,open_water_km2,flooded_veg_km2,total_flood_km2,image_count,month,year
2019-07-01,2019,7,Jul,206.99063590484687,44.757479070770096,180,26.99063590484687,14.994797724914926,2019,7,21630.994343971597,6057.480098213365,27688.474442184943,39,7,2019
2019-08-01,2019,8,Aug,254.20771061290992,87.78993560969735,220,34.20771061290992,15.548959369504509,2019,8,21593.47259033036,6173.485119252925,27766.95770958328,41,8,2019
2019-09-01,2019,9,Sep,202.32152223292348,52.576557538727876,210,-7.678477767076515,-3.6564179843221503,2019,9,26317.390975008515,5113.499923763377,31430.89089877189,44,9,2019
2019-10-01,2019,10,Oct,214.3143875202525,46.063483629909676,180,34.314387520252495,19.063548622362497,2019,10,32458.49032471064,1362.396497586133,33820.88682229675,40,10,2019
2019-11-01,2019,11,Nov,122.65418306186692,20.288950450178152,90,32.65418306186692,36.28242562429657,2019,11,22355.112694855357,9484.215272248324,31839.327967103665,41,11,2019
2019-12-01,2019,12,Dec,11.279610316959007,6.960657548178007,20,-8.720389683040993,-43.601948415204966,2019,12,14399.117269508964,13337.342639838344,27736.45990934729,38,12,2019
2020-01-01,2020,1,Jan,5.722805359839813,3.597002294035627,10,-4.277194640160187,-42.771946401601866,2020,1,12936.95078612743,14821.47075380375,27758.421539931176,39,1,2020
2020-02-01,2020,2,Feb,1.0753316080733026,2.2128675708911936,5,-3.9246683919266974,-78.49336783853394,2020,2,14621.22989502512,12921.370917130296,27542.600812155422,37,2,2020
2020-03-01,2020,3,Mar,12.608246529793425,7.503385492994751,15,-2.3917534702065755,-15.945023134710503,2020,3,22888.77542418584,5640.900443316702,28529.675867502538,42,3,2020
