year,delta_vv_km2,delta_vh_km2,delta_vh_only_km2,delta_vh_gain_pct,delta_vv_scenes,delta_vh_scenes,ts_vv_km2,ts_vh_km2,ts_vh_only_km2,ts_vh_gain_pct,ts_vv_scenes,ts_vh_scenes
2015,33664.58162133072,39263.4411312101,6664.942924893435,14.259726984115273,14,14,3892.226790523822,4982.14893377617,1249.0293189809418,21.876546802189893,10,10
2016,36979.498246219504,41105.05172424984,5999.669319617638,10.036609382482478,25,25,5898.124854872737,7430.943820472905,2092.380554001774,20.62751384793297,25,25
2017,46451.23147494217,48699.0052867601,3923.6754148457776,4.615646251051935,69,69,8076.0271916477195,10357.122466686034,2765.3237697963004,22.024411532986306,53,53
2018,47339.1142710033,50513.345701485436,4819.636002982445,6.283946126318039,87,87,12174.10364244601,15662.879523404565,3979.9822204206666,22.274166609947947,96,96
2019,46878.71022461779,51048.84996518948,5150.049155107601,8.168920050922472,85,85,10445.250922137971,14813.895928231967,4922.582899274589,29.4901829151394,93,93
2020,44932.79552872075,48493.98654882918,5144.30084246446,7.34357241701015,79,79,5921.985055628733,10199.831465175743,4739.0421535230735,41.94036366338434,98,98
2021,44916.200405643176,48029.214020063104,4760.334938623547,6.481500224258381,75,75,8692.581277692254,12975.420469567362,4861.045926797887,33.00732490265042,90,90
2022,43176.22693831261,46918.926529285985,4857.923618868343,7.9769505993221,51,51,8961.275772416733,12896.920843989767,4217.9084171306995,30.516160556317022,46,46
2023,44267.207222315104,47666.07366130297,4573.477405036042,7.130577742020296,48,48,7306.194704570472,10711.631726078887,3782.8350471785943,31.7919539113488,47,47
2024,44320.5611464834,47048.45562073217,4542.919650550468,5.798053173602388,47,47,8195.937695489603,11576.851789553228,4024.3320298470503,29.204088948556024,48,48
