year,aoi,cropland_flooded_km2,cropland_flooded_ha,rice_yield_loss_tons,economic_loss_million_usd
2015,Mekong_Delta,2779.056461850423,277905.64618504234,1069936.737812413,427.9746951249652
2016,Mekong_Delta,2241.782301332064,224178.2301332064,863086.1860128447,345.2344744051379
2017,Mekong_Delta,2464.3363064207806,246433.63064207806,948769.4779720005,379.50779118880024
2018,Mekong_Delta,2967.2239197437852,296722.39197437855,1142381.2091013573,456.95248364054294
2019,Mekong_Delta,3122.965549304837,312296.5549304837,1202341.736482362,480.9366945929448
2020,Mekong_Delta,3405.022942953132,340502.2942953132,1310933.8330369557,524.3735332147822
2021,Mekong_Delta,2930.733461730504,293073.3461730504,1128332.382766244,451.3329531064976
2022,Mekong_Delta,3009.136521108228,300913.6521108228,1158517.5606266677,463.4070242506671
2023,Mekong_Delta,2744.4379817870426,274443.7981787043,1056608.6229880115,422.64344919520454
2024,Mekong_Delta,2744.410324190356,274441.03241903556,1056597.974813287,422.6391899253148
2015,Tonle_Sap,816.2963153209422,81629.63153209422,171422.22621739787,59.99777917608926
2016,Tonle_Sap,1557.4195723720425,155741.95723720425,327058.1101981289,114.47033856934512
2017,Tonle_Sap,1976.041178721517,197604.11787215172,414968.64753151854,145.23902663603147
2018,Tonle_Sap,2840.664719507737,284066.47195077373,596539.5910966248,208.78885688381868
2019,Tonle_Sap,3617.762045199356,361776.2045199356,759730.0294918646,265.9055103221526
2020,Tonle_Sap,3322.4125095826503,332241.25095826504,697706.6270123565,244.19731945432477
2021,Tonle_Sap,3370.472887053707,337047.2887053707,707799.3062812784,247.72975719844743
2022,Tonle_Sap,3171.8797428508024,317187.9742850802,666094.7459986684,233.1331610995339
2023,Tonle_Sap,2779.1580577765576,277915.80577765574,583623.1921330771,204.26811724657696
2024,Tonle_Sap,2812.757571735668,281275.7571735668,590679.0900644902,206.73768152257156
