year,aoi,vv_km2,vv_scene_count,vh_km2,vh_scene_count,vh_only_km2,vh_gain_pct,missed_by_vv_pct,data_quality,total_scene_count,temporal_coverage_pct,expected_acquisitions,consistency_flag,cropland_flooded_km2
2015,Mekong_Delta,56583.67004618247,14,58835.69694185539,14,2252.0268956729196,3.8276539800293246,3.8276539800293246,good,14,100.0,5.083333333333333,,
2016,Mekong_Delta,59942.54009023695,25,60169.03965466207,25,226.49956442511757,0.37643872284667207,0.37643872284667207,good,25,100.0,10.166666666666666,,
2017,Mekong_Delta,64421.88021671232,69,65311.69691831178,69,889.8167015994622,1.3624155298129754,1.3624155298129754,good,69,100.0,10.166666666666666,,
2018,Mekong_Delta,64646.736125455,87,66324.89243394017,87,1678.1563084851732,2.5302058501740095,2.5302058501740095,good,87,100.0,10.166666666666666,,
2019,Mekong_Delta,64246.095885422226,85,66098.05942659178,85,1851.963541169549,2.8018425309843353,2.8018425309843353,good,85,100.0,10.166666666666666,,
2020,Mekong_Delta,63864.39381932889,79,65956.04787669373,79,2091.654057364838,3.1712847035274625,3.1712847035274625,good,79,100.0,10.166666666666666,,
2021,Mekong_Delta,63559.72801417417,75,65739.26862426511,75,2179.5406100909386,3.3154317894045526,3.3154317894045526,good,75,100.0,10.166666666666666,,
2022,Mekong_Delta,62481.82960320913,51,64642.972293754116,51,2161.1426905449844,3.3431982067968686,3.3431982067968686,good,51,100.0,5.083333333333333,,
2023,Mekong_Delta,62575.48995931796,48,65011.763313793905,48,2436.2733544759467,3.747434664580201,3.747434664580201,good,48,100.0,5.083333333333333,,
2024,Mekong_Delta,62865.70959023059,47,65137.947909635994,47,2272.2383194054055,3.488348024960222,3.488348024960222,good,47,100.0,5.083333333333333,,
2015,Tonle_Sap,10373.672565391042,10,17350.05105707584,10,6976.3784916848,40.20955597614588,40.20955597614588,good,10,100.0,5.083333333333333,,
2016,Tonle_Sap,17793.298038116172,25,22744.191768943452,25,4950.89373082728,21.767727695593848,21.767727695593848,good,25,100.0,10.166666666666666,,
2017,Tonle_Sap,20579.017246916144,53,25124.265366900177,53,4545.248119984033,18.091068748112114,18.091068748112114,good,53,100.0,10.166666666666666,,
2018,Tonle_Sap,24402.8498322796,96,29576.70772609801,96,5173.857893818411,17.493014914750237,17.493014914750237,good,96,100.0,10.166666666666666,,
2019,Tonle_Sap,25258.38684707276,93,29864.181173861743,93,4605.794326788982,15.422469814173734,15.422469814173734,good,93,100.0,10.166666666666666,,
2020,Tonle_Sap,21673.90047446277,98,27577.126408583623,98,5903.225934120852,21.40624025381927,21.40624025381927,good,98,100.0,10.166666666666666,,
2021,Tonle_Sap,24313.256161308735,90,28889.848096406757,90,4576.591935098022,15.8415230146788,15.8415230146788,good,90,100.0,10.166666666666666,,
2022,Tonle_Sap,21154.335611077375,46,26772.829793454835,46,5618.494182377461,20.98580622863787,20.98580622863787,good,46,100.0,5.083333333333333,,
2023,Tonle_Sap,20475.230051828734,47,27400.109981376947,47,6924.879929548213,25.27318296990359,25.27318296990359,good,47,100.0,5.083333333333333,,
2024,Tonle_Sap,22828.010796308317,48,28638.33344084465,48,5810.3226445363325,20.28861999437969,20.28861999437969,good,48,100.0,5.083333333333333,,
