year,delta_rain_mm_JJ,delta_rain_mm_AS,ts_rain_mm_JJ,ts_rain_mm_AS
2015,421.25707789986194,482.8639207294055,418.5191894661988,470.79258598445426
2016,500.2796160386961,487.7709752825163,581.0670315076318,587.7070399428268
2017,392.36126924053144,448.6416806596817,508.1370589093284,547.2407972405547
2018,440.10245857543197,462.7453957810022,516.9713892516036,506.97448727045924
2019,458.5445050539702,456.369944562378,390.9827541503362,529.7715362432689
2020,459.29661063271993,551.6921516146449,422.2916364380924,488.7168215934026
2021,403.5188753773991,528.4730810719474,386.71445522527875,640.2881505414131
2022,476.14919865283764,493.0327309607914,448.55838350385034,833.2738088820176
2023,576.1485728366059,451.3636267835125,487.5693371845276,460.4511689045005
2024,586.353495021925,569.038101709602,556.7314000481731,556.3449533991119
