year,dry_vh_km2,flood_vh_km2,flood_vv_km2,precip_dry_mm,precip_wet_mm
2015,37723.70649861286,39263.441131272775,33664.5816213888,38.41849676190635,482.8639207294055
2016,42486.56088604115,41105.051724313314,36979.4982462746,11.114967976599537,487.7709752825163
2017,46799.073722792855,48699.00528683864,46451.23147501596,100.53921765796925,448.6416806596817
2018,48497.147040262906,50513.345701563725,47339.11427107616,49.563316749774735,462.7453957810022
2019,51971.77746991362,51048.849965269204,46878.71022469139,48.786430112664796,456.369944562378
2020,52898.84746994616,48493.98654890958,44932.79552879515,78.69124079711854,551.6921516146449
2021,50560.076525667646,48029.2140201418,44916.20040571556,191.81703550172273,528.4730810719474
2022,47986.38781007932,46918.9265293632,43176.22693838543,195.83729579250914,493.0327309607914
2023,48364.610304947324,47666.073661381015,44267.20722238883,61.289895854363486,451.3636267835125
2024,50907.882572437054,47048.4556208106,44320.56114655885,18.777701369990286,569.038101709602
